University,Overall,Rank,Citation,Fac_Stud,Int_Fac,Acad_Rep,Emp_Rep,Int_Stud
University Complutense Madrid,49.7,226,,,,76.9,79,38.6
Technische UniversitÃ¤t Dresden,49.6,227,81.4,,30.7,49.2,67.8,42.2
Loughborough University,49.5,228,59.4,,79.9,38.9,69,71.5
Macquarie University,49.4,229,58.8,,100,48.4,63.6,78.3
Victoria University of Wellington,49.4,229,54.1,,100,51.2,58.4,66.1
Royal Holloway University of London,49.3,231,77.9,,97.7,,,98
Beijing Normal University,49.2,232,45.8,42.2,58.6,56.4,48.7,
University College Cork,49.1,233,47.4,43.2,92.1,44.4,60.7,47.8
University of Turku,49.1,233,,92.5,33.8,41.9,65.3,
University of Leicester,48.9,235,50,64,80,32.8,40.1,97.1
UniversitÃ© Joseph Fourier - Grenoble 1,48.9,235,71.9,,,52.9,,44
King Saud University,48.7,237,,90.2,97.6,42.2,45.9,
Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey,48.6,238,,71.5,83.3,43.6,93.2,47.7
University of East Anglia (UEA),48.4,239,78.9,,71.3,36.7,,85.6
UniversitÃ© Paris 1 PanthÃ©on-Sorbonne,48.2,240,,,,81.1,90.7,64.5
UniversitÃ© de Strasbourg,48.1,241,37.3,,42.3,72.3,,54.2
UniversitÃ© Paris-Sud,48.1,241,46.3,66.4,37.3,46.3,,48.6
University of Wollongong,48,243,63.9,,99.9,,78.6,69.6
UniversitÃ¤t Frankfurt am Main,48,243,,,,64.7,64.1,53.6
University of Massachusetts Amherst,48,243,76.9,,,53.7,42.6,
Technische UniversitÃ¤t Darmstadt,47.7,246,78.7,,59.9,34.2,88.1,59.1
University of Surrey,47.6,247,49.4,47.1,94.5,34.8,46.8,97.7
University of Gothenburg,47.6,247,38.8,53.4,35.8,52.8,45,
University of Strathclyde,47.5,249,50.1,,85.9,37.4,69.5,73.8
Arizona State University,47.5,249,75.1,,,60.3,,39.9
UniversitÃ¤t Stuttgart,47,251,,64.7,38.1,44.2,62.6,69.2
Tufts University,46.9,252,80.4,64,30.1,,,45.4
Chulalongkorn University,46.8,253,,,,76.3,59,
Norwegian University of Science And Technology,46.6,254,56.9,,75.9,43.4,52.9,41.1
Indian Institute of Technology Madras (IITM),46.6,254,82.3,,,41.4,66.9,
"The University of Newcastle, Australia (UoN)",46.4,256,49.1,,96.3,43,59.3,52.5
Saint-Petersburg State University,46.4,256,,97,,49.3,46.7,
WestfÃ¤lische Wilhelms-Universitat MÃ¼nster,46.4,256,,54,,49.7,69.8,
Ben Gurion University of The Negev,46.2,259,67.1,49,85.2,,,60.1
National Taiwan University of Science and Technology (Taiwan Tech),46.1,260,58.2,74.7,,34.8,,
University of Dundee,46,261,,79.4,84.2,34.5,,79.6
UniversitÃ© Paris Diderot - Paris 7,46,261,56.6,,38.4,65.8,,47.2
Queensland University of Technology (QUT),45.8,263,38.1,,95.6,47.7,71.6,54.6
Indiana University Bloomington,45.8,263,,,,61.6,55,
UniversitÃ© de LiÃ¨ge,45.5,265,73.5,48.8,,,,66
University of Navarra,45.5,265,,84.2,,34.4,85.2,49.6
"University of California, Riverside",45.5,265,87.1,,89,,45.3,36.1
American University of Beirut (AUB),45.4,268,,62.7,98.9,,92.9,73.7
"Rutgers, The State University of New Jersey, New Brunswick",45.2,269,51.3,,,52.7,,
